"from_id","from_name","message","created_time","type","link","id","story","likes_count.x","comments_count","shares_count","likes_count.y","love_count","haha_count","wow_count","sad_count","angry_count"
"100114543363891","Folha de S.Paulo","""Seja magra (pois precisa caber no carro, já que são duas cadeirinhas no banco de trás)"" (via Folha Mercado) #folha","2017-10-19T18:05:13+0000","link","http://bit.ly/2gRue7K","100114543363891_2069516823090310",NA,658,725,209,658,16,465,52,48,507
"100114543363891","Folha de S.Paulo","Ele tinha as digitais nos R$ 51 milhões do bunker de Geddel (via Folha Poder) #folha","2017-10-19T17:55:15+0000","link","http://bit.ly/2gR5Xi3","100114543363891_2069506783091314",NA,133,35,38,133,2,16,2,2,39
"100114543363891","Folha de S.Paulo","Modificar ou limitar o conceito de submeter uma pessoa a situação análoga à de escravo  pode diminuir a efetividade da fiscalização, contribuindo inclusive para o aumento da pobreza em várias regiões do país (via Folha Mercado) #folha","2017-10-19T17:45:17+0000","link","http://bit.ly/2gRr6sw","100114543363891_2069496279759031",NA,105,32,40,105,0,4,0,28,32
"100114543363891","Folha de S.Paulo","Desemprego ������ (via Bom pra Cachorro) #folha","2017-10-19T17:30:09+0000","link","http://bit.ly/2gREY63","100114543363891_2069479953093997",NA,128,48,22,128,6,53,4,78,3
"100114543363891","Folha de S.Paulo","""As afirmações de Fidel e do Che, pelas quais 'los maricones' seriam 'contrarrevolucionários'? Ninguém nunca ouviu""

Leia a coluna de Contardo Calligaris #opinião #folha","2017-10-19T17:15:16+0000","link","http://bit.ly/2iojcdD","100114543363891_2069461666429159",NA,998,414,124,998,25,245,5,0,78
"100114543363891","Folha de S.Paulo","Depois da tragédia (via Folha Cotidiano) #folha","2017-10-19T17:05:04+0000","link","http://bit.ly/2gRYlvF","100114543363891_2069451996430126",NA,340,19,20,340,19,0,2,94,0
"100114543363891","Folha de S.Paulo","""Mas a gente não é escravo, como falam por aí"" (via Folha Cotidiano) #folha","2017-10-19T16:52:52+0000","link","http://bit.ly/2imqHlc","100114543363891_2069439136431412",NA,74,20,14,74,0,1,1,29,11
"100114543363891","Folha de S.Paulo","As meninas de três anos desapareceram em setembro, quando brincavam na frente de casa em São Paulo (via Folha Cotidiano) #folha","2017-10-19T16:40:11+0000","link","http://bit.ly/2imK79J","100114543363891_2069425223099470",NA,73,14,4,73,0,0,1,128,6
"100114543363891","Folha de S.Paulo","Em vídeo, militar aparece pisando na cabeça, nas costas e jogando terra no rosto de um soldado no chão; assista. Leia mais em http://bit.ly/2ilHe9g (via Folha Poder) #folha","2017-10-19T16:25:54+0000","video","https://www.facebook.com/folhadesp/videos/2069406126434713/","100114543363891_2069406126434713",NA,231,354,96,231,13,27,9,65,269
"100114543363891","Folha de S.Paulo","Você viu? (via F5) #folha","2017-10-19T16:10:06+0000","link","http://bit.ly/2inOAc8","100114543363891_2069390553102937",NA,164,95,38,164,0,10,197,9,0
"100114543363891","Folha de S.Paulo","Nesta quinta (19), será inaugurado o que Boulos chama de “barracão de aula pública” (via Painel - Folha de S.Paulo) #folha","2017-10-19T16:00:13+0000","link","http://painel.blogfolha.uol.com.br/2017/10/19/boulos-vai-levar-caetano-veloso-a-ocupacao-do-mtst-em-sao-bernardo-do-campo/?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069379569770702",NA,108,84,21,108,21,37,0,0,43
"100114543363891","Folha de S.Paulo","Mudança no conceito de trabalho escravo pode criar ""obstáculo"" às negociações do acordo de livre comercio entre UE e o Mercosul (via Folha Mercado) #folha","2017-10-19T15:50:09+0000","link","http://www1.folha.uol.com.br/mercado/2017/10/1928255-revisao-de-regras-sobre-trabalho-escravo-pode-prejudicar-exportador.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069370179771641",NA,93,29,28,93,2,8,0,3,23
"100114543363891","Folha de S.Paulo","Nem os cachorrinhos escapam! Dois “restaurantes 24 horas” para cães, que serviam para alimentar animais de rua, foram furtados em Palmas (TO) (via Bom pra Cachorro) #folha","2017-10-19T15:30:21+0000","link","http://bompracachorro.blogfolha.uol.com.br/2017/10/19/criador-denuncia-furto-de-restaurantes-para-caes/?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069349499773709",NA,69,23,25,69,1,1,3,34,78
"100114543363891","Folha de S.Paulo","Na véspera, a base governista foi decisiva para que o Senado derrubasse decisão do Supremo Tribunal Federal e restituísse o mandato de Aécio (via Folha Poder) #folha","2017-10-19T15:15:05+0000","link","http://www1.folha.uol.com.br/poder/2017/10/1928278-unicos-votos-pro-temer-no-psdb-foram-de-aliados-de-aecio-neves.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069330676442258",NA,98,47,64,98,0,7,3,3,49
"100114543363891","Folha de S.Paulo","""Me submeto a um trabalho exaustivo, mas com prazer"", disse Gilmar Mendes ao comentar a portaria do Ministério do Trabalho que alterou a definição de trabalho escravo, publicada na segunda-feira (16). (via Folha Poder) #folha","2017-10-19T15:06:05+0000","link","http://www1.folha.uol.com.br/poder/2017/10/1928373-nao-acho-que-faco-trabalho-escravo-diz-gilmar-mendes.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069294633112529",NA,278,542,300,278,0,235,8,18,671
"100114543363891","Folha de S.Paulo","O primeiro de 15 anos de condenação (via Folha Poder) #folha","2017-10-19T14:50:05+0000","link","http://bit.ly/2gT3yUe","100114543363891_2069236779784981",NA,387,137,78,387,67,74,2,7,9
"100114543363891","Folha de S.Paulo","""Chama-se trabalho. Pessoas com limitações podem trabalhar sem precisar sentir que estão sendo ajudadas"", disse Anitta (via F5) #folha","2017-10-19T14:35:10+0000","link","http://bit.ly/2gRhjTl","100114543363891_2069215976453728",NA,269,33,14,269,76,1,3,0,1
"100114543363891","Folha de S.Paulo","A Receita alega que Neymar deixou de pagar R$ 63,6 milhões devidos ao fisco (via Folha Esporte) #folha","2017-10-19T14:26:07+0000","link","http://www1.folha.uol.com.br/esporte/2017/10/1928368-justica-multa-neymar-e-empresas-da-familia-em-r-38-milhoes.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha","100114543363891_2069201813121811",NA,87,39,21,87,8,17,2,0,9
"100114543363891","Folha de S.Paulo","Ao contrário do que previam –e temiam– os concorrentes, a estreia da Amazon no mercado de eletrônicos no Brasil não foi marcada por preços agressivos. (via Folha Mercado) #folha","2017-10-19T14:15:04+0000","link","http://www1.folha.uol.com.br/mercado/2017/10/1928260-amazon-estreia-venda-de-eletronicos-com-preco-igual-ao-dos-rivais.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2069127939795865",NA,97,44,10,97,0,32,1,3,18
"100114543363891","Folha de S.Paulo","Baratinho, #sqn. (via Folha Ilustrada) #folha","2017-10-19T14:05:04+0000","link","http://www1.folha.uol.com.br/colunas/monicabergamo/2017/10/1928210-suite-de-paul-mccartney-em-sao-paulo-custa-r-38-mil-por-dia.shtml?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2069089749799684",NA,316,155,27,316,6,24,46,0,3
"100114543363891","Folha de S.Paulo","'Uma loucura tudo isso'. É assim que Marília Pieroni, 28, define o momento que está vivendo desde que Snoop entrou na vida dela e do marido, Matheus Martins, 28. #folha","2017-10-19T13:50:07+0000","link","http://enfimsos.blogfolha.uol.com.br/2017/10/19/historia-de-cao-que-deitou-no-veu-da-noiva-e-foi-adotado-e-destaque-no-exterior/?utm_source=facebook&utm_medium=socal&utm_campaign=fbfolha","100114543363891_2069073633134629",NA,504,32,31,504,109,20,1,0,0
